,Gauss,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,100,"[204, 106, 157, 313]","[182, 129, 140, 329]","[196, 115, 127, 342]","[175, 136, 108, 361]","[214, 97, 151, 318]","[206, 104, 195, 274]",[1948 1156 1475 3216],[1802 1302 1348 3343],[1890 1214 1438 3253],[1835 1269 1319 3372],[1848 1256 1376 3315]
1,1,200,"[204, 106, 157, 313]","[183, 128, 140, 329]","[196, 115, 127, 342]","[175, 136, 108, 361]","[214, 97, 153, 316]","[206, 104, 195, 274]",[1953 1151 1476 3215],[1800 1304 1349 3342],[1887 1217 1442 3249],[1842 1262 1322 3369],[1844 1260 1377 3314]
2,1,300,"[204, 106, 157, 313]","[183, 128, 140, 329]","[196, 115, 127, 342]","[175, 136, 107, 362]","[214, 97, 152, 317]","[206, 104, 195, 274]",[1953 1151 1477 3214],[1799 1305 1347 3344],[1886 1218 1441 3250],[1840 1264 1323 3368],[1845 1259 1376 3315]
3,1,400,"[204, 106, 157, 313]","[183, 128, 140, 329]","[196, 115, 127, 342]","[175, 136, 108, 361]","[214, 97, 152, 317]","[206, 104, 195, 274]",[1952 1152 1478 3213],[1799 1305 1349 3342],[1889 1215 1443 3248],[1842 1262 1324 3367],[1845 1259 1375 3316]
4,1,500,"[204, 106, 157, 313]","[183, 128, 140, 329]","[196, 115, 126, 343]","[175, 136, 108, 361]","[214, 97, 152, 317]","[206, 104, 195, 274]",[1953 1151 1476 3215],[1798 1306 1347 3344],[1890 1214 1444 3247],[1845 1259 1325 3366],[1844 1260 1377 3314]
5,1,800,"[204, 106, 158, 312]","[183, 128, 139, 330]","[196, 115, 126, 343]","[175, 136, 108, 361]","[214, 97, 151, 318]","[206, 104, 195, 274]",[1954 1150 1475 3216],[1799 1305 1349 3342],[1888 1216 1441 3250],[1843 1261 1327 3364],[1844 1260 1377 3314]
6,1,1000,"[204, 106, 158, 312]","[183, 128, 139, 330]","[196, 115, 126, 343]","[175, 136, 109, 360]","[214, 97, 151, 318]","[206, 104, 195, 274]",[1954 1150 1477 3214],[1798 1306 1351 3340],[1888 1216 1443 3248],[1843 1261 1327 3364],[1844 1260 1375 3316]
7,0,100,"[182, 128, 140, 330]","[185, 126, 139, 330]","[203, 108, 126, 343]","[186, 125, 104, 365]","[195, 116, 133, 336]","[185, 125, 143, 326]",[1883 1221 1356 3335],[1883 1221 1441 3250],[1883 1221 1410 3281],[1877 1227 1352 3339],[1911 1193 1436 3255]
8,0,200,"[183, 127, 140, 330]","[185, 126, 139, 330]","[202, 109, 126, 343]","[186, 125, 104, 365]","[195, 116, 134, 335]","[184, 126, 141, 328]",[1882 1222 1353 3338],[1880 1224 1438 3253],[1887 1217 1409 3282],[1882 1222 1351 3340],[1909 1195 1437 3254]
9,0,300,"[182, 128, 140, 330]","[185, 126, 139, 330]","[202, 109, 126, 343]","[186, 125, 104, 365]","[195, 116, 134, 335]","[185, 125, 143, 326]",[1883 1221 1357 3334],[1882 1222 1439 3252],[1889 1215 1414 3277],[1881 1223 1352 3339],[1909 1195 1435 3256]
10,0,400,"[183, 127, 140, 330]","[185, 126, 139, 330]","[202, 109, 126, 343]","[186, 125, 104, 365]","[195, 116, 134, 335]","[185, 125, 143, 326]",[1884 1220 1358 3333],[1883 1221 1437 3254],[1889 1215 1414 3277],[1881 1223 1352 3339],[1910 1194 1432 3259]
11,0,500,"[183, 127, 140, 330]","[185, 126, 140, 329]","[202, 109, 126, 343]","[186, 125, 104, 365]","[195, 116, 134, 335]","[184, 126, 141, 328]",[1883 1221 1357 3334],[1883 1221 1438 3253],[1891 1213 1414 3277],[1881 1223 1350 3341],[1910 1194 1432 3259]
12,0,800,"[183, 127, 140, 330]","[185, 126, 139, 330]","[202, 109, 126, 343]","[186, 125, 104, 365]","[195, 116, 134, 335]","[184, 126, 141, 328]",[1884 1220 1356 3335],[1883 1221 1440 3251],[1893 1211 1415 3276],[1881 1223 1353 3338],[1911 1193 1433 3258]
13,0,1000,"[183, 127, 140, 330]","[185, 126, 140, 329]","[202, 109, 126, 343]","[186, 125, 104, 365]","[195, 116, 134, 335]","[184, 126, 141, 328]",[1884 1220 1356 3335],[1883 1221 1439 3252],[1893 1211 1415 3276],[1881 1223 1351 3340],[1910 1194 1435 3256]
