,Gauss,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,100,"[204, 106, 157, 313]",0.6625272610647851,0.727061949215626,0.7034321040289916,0.7149542414838271
1,1,200,"[204, 106, 157, 313]",0.6623476587556126,0.727043135263512,0.7030057557024089,0.7147235032039673
2,1,300,"[204, 106, 157, 313]",0.6623220012828737,0.7269730288856457,0.7030910253677254,0.7147321233383508
3,1,400,"[204, 106, 157, 313]",0.6622963438101347,0.727039479121439,0.702877851204434,0.714654407259632
4,1,500,"[204, 106, 157, 313]",0.6623733162283516,0.7271378387012918,0.702877851204434,0.7147022571059651
5,1,800,"[204, 106, 158, 312]",0.6623220012828737,0.7270753053547396,0.7028778512044339,0.7146744388709816
6,1,1000,"[204, 106, 158, 312]",0.6621937139191789,0.7269957074746065,0.702707311873801,0.7145461923937205
7,0,100,"[182, 128, 140, 330]",0.6644515715202053,0.7301519801731946,0.7017693455553187,0.7156605747288625
8,0,200,"[183, 127, 140, 330]",0.6647081462475946,0.7303301932317593,0.7020677893839267,0.715902321212366
9,0,300,"[182, 128, 140, 330]",0.6645798588839,0.7303530473538394,0.7016840758900021,0.7157143599325446
10,0,400,"[183, 127, 140, 330]",0.6647594611930725,0.7304993545593771,0.7018546152206353,0.7158741630540385
11,0,500,"[183, 127, 140, 330]",0.6648364336112893,0.7305552664221094,0.7019398848859518,0.7159444204166856
12,0,800,"[183, 127, 140, 330]",0.6647851186658115,0.7306133710965204,0.7016840758900023,0.7158390034490804
13,0,1000,"[183, 127, 140, 330]",0.6647851186658114,0.7305920948592731,0.7017267107226604,0.7158505022722199
