,Max_depth,N_estimators,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,"[50, 100, 150]",50,"[80, 230, 44, 426]",0.6608595253367543,0.6583964279270506,0.9070986996376039,0.7629904396535213
1,1,"[50, 100, 150]",100,"[80, 230, 44, 426]",0.6607312379730597,0.6582160125063965,0.9074397782988701,0.7629900064738594
2,1,"[50, 100, 150]",150,"[80, 230, 44, 426]",0.6606799230275817,0.6582740263167028,0.9070134299722874,0.762877667227291
3,1,"[50, 100, 150]",50,"[119, 191, 69, 401]",0.6722001282873636,0.678529934861055,0.8652312939671711,0.7605872146035704
4,1,"[50, 100, 150]",100,"[120, 190, 70, 400]",0.6725593329057087,0.6789786467007789,0.8647623108079301,0.7606867258230094
5,1,"[50, 100, 150]",150,"[121, 189, 71, 399]",0.6722514432328416,0.67874163715503,0.8646344063099554,0.7604889738937557
6,1,"[50, 100, 150]",50,"[133, 177, 75, 395]",0.6783322642719691,0.6907037188981268,0.8429759113195481,0.7592744612311416
7,1,"[50, 100, 150]",100,"[130, 180, 75, 395]",0.6782552918537524,0.690714983123284,0.8427201023235984,0.7591764212160829
8,1,"[50, 100, 150]",150,"[129, 181, 75, 395]",0.6785118665811417,0.6911027576113928,0.8422511191643572,0.7592204259657951
9,2,"[50, 100, 150]",50,"[138, 172, 77, 393]",0.6815907633098138,0.6991563217190405,0.8266041355787678,0.7575498036957533
10,2,"[50, 100, 150]",100,"[141, 169, 77, 393]",0.6814111610006414,0.6988900831472065,0.8268599445747176,0.7575019560343383
11,2,"[50, 100, 150]",150,"[139, 171, 79, 391]",0.6814111610006414,0.6991427821112681,0.8260925175868685,0.75733206478856
12,2,"[50, 100, 150]",50,"[157, 153, 91, 379]",0.6865169980756896,0.7083954548936738,0.8142826689405244,0.757656943448497
13,2,"[50, 100, 150]",100,"[154, 156, 90, 380]",0.6869018601667735,0.7087731337101395,0.8143253037731828,0.7578915144359314
14,2,"[50, 100, 150]",150,"[155, 155, 90, 380]",0.6866452854393843,0.7087571057155595,0.8136431464506503,0.7575866327592614
15,2,"[50, 100, 150]",50,"[159, 151, 97, 373]",0.6888518280949325,0.7125311360148144,0.8095928373481133,0.7579647921119973
16,2,"[50, 100, 150]",100,"[160, 150, 100, 370]",0.6892110327132779,0.7128904689657745,0.8096354721807717,0.7581863391057041
17,2,"[50, 100, 150]",150,"[158, 152, 98, 372]",0.688749198203977,0.7127122813374192,0.8088254103602643,0.7577299831867126
18,3,"[50, 100, 150]",50,"[159, 151, 97, 373]",0.6864913406029506,0.7119537510004179,0.8045619270944361,0.7554274279301978
19,3,"[50, 100, 150]",100,"[159, 151, 97, 373]",0.6865426555484284,0.7120698980595985,0.8043913877638029,0.7554170365403061
20,3,"[50, 100, 150]",150,"[160, 150, 97, 373]",0.6867992302758179,0.7122746813127845,0.8045619270944362,0.7556085279242697
21,3,"[50, 100, 150]",50,"[163, 147, 101, 369]",0.6892110327132778,0.7151032205214314,0.8037945001065872,0.7568565776573749
22,3,"[50, 100, 150]",100,"[165, 145, 99, 371]",0.6897498396407953,0.7155572710591118,0.804092943935195,0.7572446426557857
23,3,"[50, 100, 150]",150,"[163, 147, 102, 368]",0.6893393200769724,0.715514905184452,0.8030697079513963,0.7567665517232571
24,3,"[50, 100, 150]",50,"[161, 149, 101, 369]",0.6909300833867864,0.7181157090285001,0.8007247921551908,0.7571716566890216
25,3,"[50, 100, 150]",100,"[161, 149, 101, 369]",0.6904425914047467,0.7177943571931571,0.8002131741632914,0.7567639430690009
26,3,"[50, 100, 150]",150,"[162, 148, 101, 369]",0.6904682488774856,0.7178562282397414,0.8001279044979748,0.7567598930406471
27,4,"[50, 100, 150]",50,"[161, 149, 101, 369]",0.6870814624759461,0.7151333604193553,0.7978256235344275,0.7542174813172056
28,4,"[50, 100, 150]",100,"[160, 150, 101, 369]",0.68746632456703,0.7158083391175898,0.7971434662118951,0.7542859340578344
29,4,"[50, 100, 150]",150,"[161, 149, 100, 370]",0.6879025016035921,0.7161580773216053,0.797441910040503,0.7546131575806057
30,4,"[50, 100, 150]",50,"[162, 148, 102, 368]",0.6901347017318795,0.7181354005933536,0.7985077808569601,0.7561883511262386
31,4,"[50, 100, 150]",100,"[161, 149, 103, 367]",0.6893393200769725,0.7177152922036097,0.7973992752078447,0.7554584876132131
32,4,"[50, 100, 150]",150,"[161, 149, 102, 368]",0.6890057729313662,0.7176255727155134,0.7967171178853124,0.7551028453767743
33,4,"[50, 100, 150]",50,"[166, 144, 104, 366]",0.6895702373316228,0.7192761474708789,0.7940737582604988,0.7548255507416182
34,4,"[50, 100, 150]",100,"[164, 146, 105, 365]",0.6900064143681847,0.7198345859849047,0.7938605840972074,0.755036401593077
35,4,"[50, 100, 150]",150,"[163, 147, 104, 366]",0.6899037844772289,0.7196898526297415,0.7939458537625239,0.7549955469333143
