,Alpha,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,0.0001,50,"[160, 150, 102, 368]",0.6838742783835793,0.7096845553804663,0.8033681517800041,0.7536055362430021
1,0.0001,100,"[157, 153, 97, 373]",0.6844644002565746,0.7091513741968948,0.8064378597314006,0.7546629213545881
2,0.0001,150,"[156, 154, 96, 374]",0.6847979474021809,0.7090881530982351,0.8075463653805158,0.7551146976313695
3,0.001,50,"[155, 155, 95, 375]",0.6839255933290571,0.7071579534429254,0.8103602643359624,0.7552468795580077
4,0.001,100,"[155, 155, 94, 376]",0.6850032071840924,0.7081879227584706,0.8105734384992539,0.7559256018777634
5,0.001,150,"[155, 155, 95, 375]",0.6850801796023092,0.7079755108687981,0.8113835003197611,0.7561551511431033
6,0.01,50,"[138, 172, 77, 393]",0.6729698524695318,0.6878619408139993,0.8358985290982732,0.7546868167764392
7,0.01,100,"[138, 172, 78, 392]",0.6731237973059654,0.6882199863846339,0.8352163717757408,0.7546237470985189
8,0.01,150,"[138, 172, 78, 392]",0.672892880051315,0.6878957697116407,0.8355574504370071,0.7545684690281286
