,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[150, 160, 125, 345]","[157, 154, 116, 353]","[159, 152, 136, 333]","[167, 144, 118, 351]","[162, 149, 124, 345]","[175, 135, 128, 341]",[1618 1486 1240 3451],[1619 1485 1244 3447],[1633 1471 1261 3430],[1622 1482 1266 3425],[1596 1508 1234 3457]
1,10,"[175, 135, 142, 328]","[181, 130, 143, 326]","[196, 115, 143, 326]","[197, 114, 133, 336]","[198, 113, 162, 307]","[189, 121, 151, 318]",[1871 1233 1434 3257],[1811 1293 1444 3247],[1827 1277 1403 3288],[1863 1241 1446 3245],[1842 1262 1436 3255]
2,12,"[174, 136, 143, 327]","[180, 131, 126, 343]","[199, 112, 139, 330]","[199, 112, 132, 337]","[183, 128, 135, 334]","[181, 129, 146, 323]",[1843 1261 1356 3335],[1790 1314 1367 3324],[1803 1301 1331 3360],[1834 1270 1384 3307],[1838 1266 1378 3313]
3,14,"[162, 148, 137, 333]","[179, 132, 128, 341]","[193, 118, 136, 333]","[193, 118, 127, 342]","[190, 121, 145, 324]","[179, 131, 139, 330]",[1821 1283 1332 3359],[1763 1341 1313 3378],[1786 1318 1299 3392],[1849 1255 1367 3324],[1835 1269 1371 3320]
4,16,"[176, 134, 139, 331]","[176, 135, 127, 342]","[194, 117, 133, 336]","[199, 112, 127, 342]","[182, 129, 123, 346]","[175, 135, 132, 337]",[1833 1271 1295 3396],[1765 1339 1278 3413],[1788 1316 1278 3413],[1840 1264 1324 3367],[1801 1303 1319 3372]
5,20,"[176, 134, 136, 334]","[173, 138, 127, 342]","[196, 115, 130, 339]","[190, 121, 120, 349]","[195, 116, 131, 338]","[174, 136, 129, 340]",[1818 1286 1272 3419],[1768 1336 1249 3442],[1775 1329 1270 3421],[1807 1297 1239 3452],[1777 1327 1268 3423]
