,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[156, 154, 106, 364]","[148, 163, 93, 376]","[183, 128, 98, 371]","[152, 159, 78, 391]","[147, 164, 82, 387]","[154, 156, 94, 375]",[1592 1512  922 3769],[1618 1486  934 3757],[1513 1591  890 3801],[1571 1533  902 3789],[1610 1494  928 3763]
1,0.0001,100,"[164, 146, 106, 364]","[152, 159, 96, 373]","[179, 132, 94, 375]","[157, 154, 81, 388]","[150, 161, 85, 384]","[155, 155, 98, 371]",[1596 1508  924 3767],[1608 1496  929 3762],[1558 1546  930 3761],[1600 1504  932 3759],[1621 1483  943 3748]
2,0.0001,150,"[165, 145, 106, 364]","[153, 158, 94, 375]","[179, 132, 93, 376]","[148, 163, 77, 392]","[158, 153, 89, 380]","[154, 156, 98, 371]",[1600 1504  917 3774],[1598 1506  941 3750],[1554 1550  914 3777],[1597 1507  934 3757],[1632 1472  949 3742]
3,0.001,50,"[162, 148, 105, 365]","[151, 160, 93, 376]","[172, 139, 83, 386]","[144, 167, 74, 395]","[160, 151, 93, 376]","[157, 153, 99, 370]",[1582 1522  892 3799],[1593 1511  928 3763],[1564 1540  895 3796],[1562 1542  882 3809],[1594 1510  902 3789]
4,0.001,100,"[161, 149, 102, 368]","[149, 162, 94, 375]","[174, 137, 87, 382]","[143, 168, 73, 396]","[158, 153, 90, 379]","[154, 156, 101, 368]",[1573 1531  899 3792],[1579 1525  909 3782],[1565 1539  899 3792],[1567 1537  902 3789],[1596 1508  912 3779]
5,0.001,150,"[162, 148, 101, 369]","[153, 158, 94, 375]","[173, 138, 86, 383]","[144, 167, 72, 397]","[159, 152, 87, 382]","[153, 157, 103, 366]",[1581 1523  895 3796],[1576 1528  907 3784],[1567 1537  902 3789],[1576 1528  903 3788],[1593 1511  897 3794]
6,0.01,50,"[139, 171, 83, 387]","[139, 172, 87, 382]","[149, 162, 72, 397]","[127, 184, 59, 410]","[130, 181, 74, 395]","[122, 188, 92, 377]",[1361 1743  790 3901],[1350 1754  792 3899],[1328 1776  758 3933],[1338 1766  775 3916],[1352 1752  782 3909]
7,0.01,100,"[139, 171, 80, 390]","[139, 172, 88, 381]","[145, 166, 70, 399]","[128, 183, 58, 411]","[133, 178, 74, 395]","[124, 186, 93, 376]",[1361 1743  783 3908],[1361 1743  794 3897],[1332 1772  765 3926],[1336 1768  787 3904],[1355 1749  781 3910]
8,0.01,150,"[137, 173, 78, 392]","[139, 172, 89, 380]","[147, 164, 73, 396]","[128, 183, 59, 410]","[131, 180, 72, 397]","[129, 181, 91, 378]",[1358 1746  785 3906],[1356 1748  786 3905],[1337 1767  766 3925],[1337 1767  786 3905],[1347 1757  782 3909]
