,Neighbors,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,12,50,"[142, 168, 106, 364]","[146, 165, 91, 378]","[153, 158, 88, 381]","[156, 155, 87, 382]","[141, 170, 87, 382]","[150, 160, 101, 368]",[1499 1605  945 3746],[1494 1610 1028 3663],[1478 1626  986 3705],[1520 1584  994 3697],[1508 1596 1023 3668]
1,12,100,"[151, 159, 109, 361]","[143, 168, 91, 378]","[151, 160, 89, 380]","[158, 153, 88, 381]","[147, 164, 90, 379]","[154, 156, 104, 365]",[1512 1592  957 3734],[1498 1606 1019 3672],[1474 1630  991 3700],[1521 1583  995 3696],[1520 1584 1013 3678]
2,12,150,"[149, 161, 107, 363]","[143, 168, 95, 374]","[154, 157, 93, 376]","[158, 153, 86, 383]","[148, 163, 90, 379]","[155, 155, 103, 366]",[1517 1587  971 3720],[1503 1601 1021 3670],[1479 1625  980 3711],[1527 1577  994 3697],[1516 1588 1015 3676]
3,14,50,"[141, 169, 105, 365]","[147, 164, 96, 373]","[153, 158, 86, 383]","[157, 154, 86, 383]","[145, 166, 91, 378]","[150, 160, 93, 376]",[1489 1615  940 3751],[1495 1609  987 3704],[1470 1634  970 3721],[1501 1603  986 3705],[1505 1599  990 3701]
4,14,100,"[144, 166, 107, 363]","[139, 172, 93, 376]","[148, 163, 84, 385]","[160, 151, 83, 386]","[149, 162, 91, 378]","[147, 163, 99, 370]",[1490 1614  939 3752],[1496 1608  996 3695],[1478 1626  977 3714],[1503 1601  985 3706],[1504 1600  997 3694]
5,14,150,"[145, 165, 103, 367]","[142, 169, 94, 375]","[152, 159, 84, 385]","[157, 154, 85, 384]","[148, 163, 91, 378]","[146, 164, 98, 371]",[1496 1608  939 3752],[1487 1617  995 3696],[1469 1635  977 3714],[1509 1595  977 3714],[1508 1596  993 3698]
6,16,50,"[138, 172, 104, 366]","[147, 164, 93, 376]","[149, 162, 84, 385]","[157, 154, 79, 390]","[146, 165, 86, 383]","[144, 166, 89, 380]",[1470 1634  925 3766],[1485 1619  960 3731],[1457 1647  963 3728],[1489 1615  963 3728],[1503 1601  977 3714]
7,16,100,"[143, 167, 108, 362]","[143, 168, 92, 377]","[147, 164, 84, 385]","[159, 152, 81, 388]","[147, 164, 87, 382]","[146, 164, 92, 377]",[1479 1625  928 3763],[1493 1611  963 3728],[1460 1644  976 3715],[1481 1623  961 3730],[1497 1607  979 3712]
8,16,150,"[144, 166, 102, 368]","[145, 166, 91, 378]","[147, 164, 84, 385]","[160, 151, 82, 387]","[149, 162, 85, 384]","[144, 166, 90, 379]",[1485 1619  916 3775],[1488 1616  974 3717],[1453 1651  975 3716],[1494 1610  965 3726],[1497 1607  977 3714]
