,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[200, 110, 151, 319]","[189, 122, 155, 314]","[205, 106, 146, 323]","[208, 103, 129, 340]","[195, 116, 160, 309]","[186, 124, 149, 320]",[1981 1123 1530 3161],[1981 1123 1554 3137],[1982 1122 1547 3144],[1990 1114 1536 3155],[1990 1114 1544 3147]
1,200,"[200, 110, 150, 320]","[190, 121, 155, 314]","[204, 107, 146, 323]","[209, 102, 129, 340]","[198, 113, 160, 309]","[186, 124, 150, 319]",[1985 1119 1531 3160],[1980 1124 1555 3136],[1987 1117 1540 3151],[1996 1108 1536 3155],[1983 1121 1546 3145]
2,300,"[200, 110, 150, 320]","[189, 122, 155, 314]","[204, 107, 146, 323]","[209, 102, 129, 340]","[197, 114, 160, 309]","[186, 124, 150, 319]",[1982 1122 1530 3161],[1978 1126 1557 3134],[1987 1117 1538 3153],[1997 1107 1534 3157],[1984 1120 1544 3147]
3,400,"[200, 110, 151, 319]","[189, 122, 154, 315]","[204, 107, 146, 323]","[209, 102, 129, 340]","[197, 114, 161, 308]","[186, 124, 150, 319]",[1982 1122 1532 3159],[1980 1124 1554 3137],[1988 1116 1538 3153],[1995 1109 1534 3157],[1984 1120 1545 3146]
4,500,"[200, 110, 151, 319]","[189, 122, 155, 314]","[204, 107, 146, 323]","[209, 102, 129, 340]","[198, 113, 161, 308]","[186, 124, 150, 319]",[1984 1120 1534 3157],[1979 1125 1554 3137],[1988 1116 1540 3151],[1997 1107 1536 3155],[1985 1119 1546 3145]
5,800,"[200, 110, 152, 318]","[189, 122, 155, 314]","[204, 107, 146, 323]","[208, 103, 129, 340]","[198, 113, 161, 308]","[186, 124, 150, 319]",[1981 1123 1534 3157],[1982 1122 1554 3137],[1986 1118 1541 3150],[1995 1109 1538 3153],[1986 1118 1547 3144]
6,1000,"[200, 110, 152, 318]","[189, 122, 155, 314]","[204, 107, 146, 323]","[208, 103, 129, 340]","[198, 113, 161, 308]","[186, 124, 150, 319]",[1983 1121 1534 3157],[1982 1122 1553 3138],[1988 1116 1541 3150],[1996 1108 1538 3153],[1986 1118 1545 3146]
