,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[128, 182, 63, 407]",0.6743296985246954,0.6841691053219847,0.8522703048390534,0.7590209815503112
1,25,0.2,"[150, 160, 90, 380]",0.6845157152020527,0.7056088206132445,0.8163717757407802,0.7569575986526151
2,25,0.3,"[156, 154, 96, 374]",0.6856446440025658,0.7095529184977432,0.8086548710296313,0.7558680485604031
3,25,0.4,"[158, 152, 93, 377]",0.6858755612572162,0.7094481071452321,0.8095928373481135,0.756215192442079
4,25,0.5,"[17, 293, 4, 466]",0.6117254650416933,0.6086491388101799,0.993817949264549,0.7549433116030985
5,50,0.1,"[148, 162, 90, 380]",0.6842591404746632,0.7051222972500353,0.8170112982306545,0.7569523955050191
6,50,0.2,"[158, 152, 93, 377]",0.6862604233483001,0.7110898717324314,0.8062246855681092,0.7556735035867461
7,50,0.3,"[159, 151, 94, 376]",0.6872354073123799,0.7123615619377204,0.8055425282455767,0.7560910564439608
8,50,0.4,"[159, 151, 95, 375]",0.6878768441308531,0.7137294915550905,0.8037092304412704,0.7560500143647583
9,50,0.5,"[297, 13, 363, 107]",0.49411161000641435,0.8637691234469033,0.18925602217011298,0.31016978353651375
10,75,0.1,"[155, 155, 96, 374]",0.6854137267479153,0.7092515880358333,0.8088254103602643,0.7557716366755391
11,75,0.2,"[159, 151, 94, 376]",0.6872867222578576,0.7123670972165608,0.8056704327435515,0.7561504689627835
12,75,0.3,"[160, 150, 97, 373]",0.6873893521488134,0.71327998372934,0.8035386911106375,0.7557225225231055
13,75,0.4,"[159, 151, 97, 373]",0.6874919820397691,0.7135818668990367,0.8030270731187381,0.7556661704840242
14,75,0.5,"[20, 290, 7, 463]",0.6139576651699807,0.6103415546528513,0.9915583031336602,0.7555885568887001
