,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[133, 177, 68, 402]",0.6757408595253367,0.6875803284907922,0.845235557450437,0.7583001320580685
1,25,0.2,"[152, 158, 83, 387]",0.6845157152020527,0.7059846811781808,0.8153059049243232,0.7567170463801411
2,25,0.3,"[22, 288, 5, 465]",0.6191148171905068,0.6145985247780041,0.9843530164144105,0.7567231417823391
3,25,0.4,"[1, 309, 2, 468]",0.6026683771648492,0.6024319506927094,0.9991046685141761,0.7516438438862305
4,25,0.5,"[0, 310, 0, 470]",0.601949967928159,0.6018991409251422,0.9999147303346835,0.7514578654306269
5,50,0.1,"[152, 158, 83, 387]",0.6844644002565747,0.7056746594745543,0.8160306970795139,0.7568505427032353
6,50,0.2,"[161, 149, 86, 384]",0.6869275176395124,0.7121212167909028,0.8053293540822853,0.7558624232443304
7,50,0.3,"[286, 24, 309, 161]",0.5812443874278383,0.8463829348852254,0.3716052014495843,0.5164559443811307
8,50,0.4,"[309, 1, 470, 0]",0.3985375240538807,0.5973160173160174,0.0016627584736729907,0.003316128110628597
9,50,0.5,"[310, 0, 470, 0]",0.3982039769082745,0.0,0.0,0.0
10,75,0.1,"[160, 150, 85, 385]",0.6862091084028223,0.7104673742734081,0.8077595395438072,0.7559953988860215
11,75,0.2,"[161, 149, 90, 380]",0.6877742142398974,0.7137182656915804,0.803453421445321,0.7559315416697343
12,75,0.3,"[28, 282, 13, 457]",0.6276074406670943,0.621115741708024,0.9774461735237688,0.759566660219601
13,75,0.4,"[1, 309, 2, 468]",0.6033098139833226,0.6028352509391411,0.9989767640162013,0.7519214468241604
14,75,0.5,"[0, 310, 0, 470]",0.6020525978191148,0.6019504683690492,1.0,0.7515219480935598
