,Gauss,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,100,"[180, 130, 143, 327]",0.630891597177678,0.7459442890638085,0.5868258367085909,0.6563412027732252
1,1,200,"[180, 130, 144, 326]",0.630942912123156,0.7463803344397044,0.5862715838840332,0.6561335759994112
2,1,300,"[180, 130, 144, 326]",0.6308915971776781,0.7464773276441713,0.5860157748880835,0.6559763758777556
3,1,400,"[180, 130, 144, 326]",0.6307633098139833,0.7463910779102253,0.5858452355574505,0.6558244392438937
4,1,500,"[179, 131, 144, 326]",0.6306350224502887,0.7462743878164029,0.5857173310594757,0.6557005453701297
5,1,800,"[180, 130, 144, 326]",0.6305837075048107,0.7460914065204953,0.5858452355574505,0.6557202930201675
6,1,1000,"[180, 130, 144, 326]",0.630506735086594,0.7461415504749828,0.5856320613941591,0.655594670035514
7,0,100,"[196, 114, 147, 323]",0.6634252726106478,0.7417622379849018,0.6761031762950331,0.707409463232485
8,0,200,"[196, 114, 148, 322]",0.6634252726106478,0.7417875420865098,0.6760605414623748,0.7073965262775344
9,0,300,"[196, 114, 148, 322]",0.6632200128287364,0.7414420241111547,0.6761884459603497,0.7073095135536211
10,0,400,"[196, 114, 148, 322]",0.663348300192431,0.7417043554696143,0.6760179066297164,0.7073359018330276
11,0,500,"[196, 114, 148, 322]",0.6632200128287364,0.7414868289118484,0.6761031762950331,0.7072831319894783
12,0,800,"[196, 114, 148, 322]",0.6631686978832585,0.7414620132042662,0.6760179066297165,0.7072252972905029
13,0,1000,"[196, 114, 149, 321]",0.6630147530468249,0.7413670526259551,0.6758047324664249,0.7070653194012035
