,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[124, 186, 64, 406]",0.6706606799230276,0.6789320933598523,0.8589639735664039,0.758402405212527
1,25,0.2,"[148, 162, 88, 382]",0.6815394483643361,0.7017011377520197,0.8189725005329354,0.7558119268900907
2,25,0.3,"[152, 158, 93, 377]",0.6840538806927517,0.7075532019202093,0.8096354721807717,0.7551575045349569
3,25,0.4,"[155, 155, 95, 375]",0.6848749198203977,0.7098038783571126,0.8057983372415262,0.7547596807745375
4,25,0.5,"[159, 151, 95, 375]",0.6856959589480436,0.7109935824575682,0.8049030057557024,0.7550383186373766
5,50,0.1,"[147, 163, 88, 382]",0.6812828736369467,0.7012535078790927,0.8195267533574931,0.755788092415697
6,50,0.2,"[154, 156, 95, 375]",0.6847466324567031,0.7096548854369722,0.8058409720741846,0.7546940546974653
7,50,0.3,"[160, 150, 94, 376]",0.6859781911481718,0.7112565514921365,0.8049882754210191,0.7552232540407755
8,50,0.4,"[160, 150, 92, 378]",0.6876972418216806,0.713103516052055,0.8048603709230442,0.7562074980204295
9,50,0.5,"[162, 148, 91, 379]",0.6872610647851187,0.7129836198370987,0.8039650394372202,0.7557446177728181
10,75,0.1,"[152, 158, 92, 378]",0.6841051956382297,0.7073737127508484,0.8102749946706458,0.7553336312206509
11,75,0.2,"[160, 150, 94, 376]",0.6860038486209108,0.7112832812943048,0.8049882754210191,0.7552382619854128
12,75,0.3,"[160, 150, 92, 378]",0.6876459268762027,0.7131619373772665,0.8045619270944362,0.7561084880692036
13,75,0.4,"[162, 148, 91, 379]",0.687517639512508,0.7133339836936592,0.8037518652739288,0.7558478901576008
14,75,0.5,"[162, 148, 92, 378]",0.686337395766517,0.7123851019110152,0.8029844382860798,0.754975363722453
