,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[103, 207, 50, 420]","[114, 197, 68, 401]","[127, 184, 57, 412]","[92, 219, 45, 424]","[102, 209, 55, 414]","[115, 195, 62, 407]",[1070 2034  570 4121],[1032 2072  560 4131],[1058 2046  588 4103],[1022 2082  556 4135],[1069 2035  563 4128]
1,25,0.2,"[139, 171, 75, 395]","[134, 177, 87, 382]","[156, 155, 88, 381]","[133, 178, 67, 402]","[137, 174, 73, 396]","[140, 170, 89, 380]",[1399 1705  799 3892],[1381 1723  831 3860],[1391 1713  802 3889],[1371 1733  791 3900],[1399 1705  794 3897]
2,25,0.3,"[147, 163, 85, 385]","[146, 165, 96, 373]","[163, 148, 89, 380]","[142, 169, 72, 397]","[151, 160, 82, 387]","[142, 168, 89, 380]",[1484 1620  851 3840],[1479 1625  908 3783],[1481 1623  870 3821],[1484 1620  856 3835],[1472 1632  853 3838]
3,25,0.4,"[153, 157, 89, 381]","[146, 165, 96, 373]","[170, 141, 90, 379]","[146, 165, 74, 395]","[154, 157, 87, 382]","[147, 163, 96, 373]",[1526 1578  883 3808],[1508 1596  929 3762],[1523 1581  895 3796],[1512 1592  886 3805],[1494 1610  873 3818]
4,25,0.5,"[153, 157, 89, 381]","[146, 165, 97, 372]","[173, 138, 91, 378]","[147, 164, 76, 393]","[157, 154, 88, 381]","[149, 161, 96, 373]",[1537 1567  887 3804],[1538 1566  941 3750],[1536 1568  911 3780],[1534 1570  897 3794],[1515 1589  887 3804]
5,50,0.1,"[139, 171, 75, 395]","[134, 177, 86, 383]","[156, 155, 88, 381]","[131, 180, 65, 404]","[137, 174, 73, 396]","[140, 170, 88, 381]",[1396 1708  795 3896],[1376 1728  825 3866],[1389 1715  801 3890],[1364 1740  790 3901],[1390 1714  787 3904]
6,50,0.2,"[152, 158, 89, 381]","[146, 165, 96, 373]","[170, 141, 90, 379]","[146, 165, 74, 395]","[154, 157, 86, 383]","[147, 163, 95, 374]",[1524 1580  880 3811],[1505 1599  925 3766],[1523 1581  893 3798],[1509 1595  883 3808],[1493 1611  871 3820]
7,50,0.3,"[155, 155, 96, 374]","[147, 164, 97, 372]","[174, 137, 93, 376]","[145, 166, 75, 394]","[156, 155, 86, 383]","[149, 161, 98, 371]",[1543 1561  900 3791],[1526 1578  941 3750],[1546 1558  920 3771],[1536 1568  901 3790],[1528 1576  890 3801]
8,50,0.4,"[156, 154, 99, 371]","[149, 162, 97, 372]","[175, 136, 94, 375]","[146, 165, 75, 394]","[160, 151, 86, 383]","[149, 161, 97, 372]",[1555 1549  910 3781],[1519 1585  935 3756],[1550 1554  924 3767],[1536 1568  900 3791],[1547 1557  905 3786]
9,50,0.5,"[155, 155, 98, 372]","[150, 161, 99, 370]","[176, 135, 94, 375]","[148, 163, 75, 394]","[160, 151, 85, 384]","[149, 161, 98, 371]",[1562 1542  916 3775],[1525 1579  930 3761],[1550 1554  929 3762],[1525 1579  904 3787],[1558 1546  919 3772]
10,75,0.1,"[147, 163, 84, 386]","[146, 165, 96, 373]","[163, 148, 89, 380]","[141, 170, 72, 397]","[149, 162, 81, 388]","[142, 168, 89, 380]",[1480 1624  849 3842],[1463 1641  896 3795],[1478 1626  868 3823],[1478 1626  849 3842],[1470 1634  851 3840]
11,75,0.2,"[155, 155, 96, 374]","[147, 164, 97, 372]","[174, 137, 93, 376]","[145, 166, 75, 394]","[156, 155, 86, 383]","[149, 161, 98, 371]",[1543 1561  900 3791],[1525 1579  941 3750],[1546 1558  920 3771],[1536 1568  901 3790],[1528 1576  890 3801]
12,75,0.3,"[156, 154, 98, 372]","[149, 162, 99, 370]","[176, 135, 94, 375]","[146, 165, 75, 394]","[160, 151, 85, 384]","[149, 161, 97, 372]",[1559 1545  912 3779],[1526 1578  933 3758],[1548 1556  926 3765],[1522 1582  899 3792],[1556 1548  912 3779]
13,75,0.4,"[153, 157, 97, 373]","[150, 161, 100, 369]","[176, 135, 94, 375]","[147, 164, 73, 396]","[158, 153, 82, 387]","[149, 161, 99, 370]",[1556 1548  914 3777],[1513 1591  927 3764],[1557 1547  930 3761],[1529 1575  904 3787],[1566 1538  939 3752]
14,75,0.5,"[154, 156, 100, 370]","[150, 161, 99, 370]","[176, 135, 97, 372]","[147, 164, 72, 397]","[159, 152, 84, 385]","[149, 161, 98, 371]",[1560 1544  921 3770],[1509 1595  932 3759],[1559 1545  938 3753],[1532 1572  904 3787],[1580 1524  939 3752]
