,Gauss,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,100,"[204, 106, 159, 311]",0.6381783194355356,0.7392304438648128,0.6167128544020466,0.6715026867207843
1,1,200,"[205, 105, 159, 311]",0.6377164849262348,0.7392394954247077,0.6155190790876145,0.6708103255349982
2,1,300,"[205, 105, 159, 311]",0.6377934573444517,0.7392366367001657,0.6156469835855896,0.6709338036814687
3,1,400,"[204, 106, 159, 311]",0.63758819756254,0.7391762440000289,0.6152632700916648,0.6706698368556043
4,1,500,"[204, 106, 159, 311]",0.6375368826170622,0.7393126556732627,0.6149221914303986,0.6705057842745441
5,1,800,"[204, 106, 157, 313]",0.6374855676715844,0.7390528915839383,0.6152206352590066,0.6705970639276432
6,1,1000,"[204, 106, 157, 313]",0.6375881975625401,0.739239482077364,0.6151780004263483,0.6706453114046799
7,0,100,"[193, 117, 143, 327]",0.6658627325208466,0.7411084869497095,0.6835642720102324,0.7111662163945958
8,0,200,"[193, 117, 142, 328]",0.6655548428479795,0.7408296072049673,0.6833084630142826,0.7108987562058118
9,0,300,"[194, 116, 142, 328]",0.6657601026298909,0.7411697689977312,0.6831805585163078,0.7109861994218417
10,0,400,"[193, 117, 142, 328]",0.6656831302116742,0.7410451856675746,0.6832231933489661,0.7109519692261681
11,0,500,"[194, 116, 142, 328]",0.6655805003207185,0.7410424109910558,0.6829673843530164,0.7108120116362644
12,0,800,"[194, 116, 142, 328]",0.6656318152661964,0.7410887585775667,0.6830100191856747,0.7108559761891531
13,0,1000,"[194, 116, 142, 328]",0.6655548428479795,0.7410077764569445,0.6829673843530164,0.710796078848702
