,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,100,"[200, 110, 151, 319]",0.6585760102629892,0.7377689847866773,0.6712428053719889,0.7029346664263431
1,200,"[200, 110, 150, 320]",0.6588325849903784,0.7380478305243644,0.6713707098699638,0.7031316755206174
2,300,"[200, 110, 150, 320]",0.6588838999358563,0.7380054910339742,0.6715838840332552,0.7032291631955649
3,400,"[200, 110, 151, 319]",0.6589095574085952,0.7380401614556648,0.6715838840332552,0.7032450597006774
4,500,"[200, 110, 151, 319]",0.6588325849903784,0.7380929402406802,0.6712854402046472,0.703105479478157
5,800,"[200, 110, 152, 318]",0.658652982681206,0.7379401345459156,0.671114900874014,0.7029423651090269
6,1000,"[200, 110, 152, 318]",0.6588582424631173,0.7381500058046565,0.6712428053719889,0.7031078822409572
