,Neighbors,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,12,50,"[145, 165, 108, 362]",0.6730724823604876,0.7062554340848761,0.7820507354508635,0.7422132157616435
1,12,100,"[146, 164, 109, 361]",0.673636946760744,0.7070676893062225,0.7814964826263056,0.7424090989978704
2,12,150,"[146, 164, 109, 361]",0.6735343168697883,0.7067942035085254,0.7819228309528885,0.74245058221566
3,14,50,"[147, 163, 103, 367]",0.6743553559974342,0.706783824254811,0.7843103815817523,0.743514794516595
4,14,100,"[145, 165, 107, 363]",0.674817190506735,0.7070296695132703,0.7849499040716266,0.7439350027352222
5,14,150,"[145, 165, 105, 365]",0.6744066709429122,0.7068458384807209,0.7842677467490939,0.7435297791286878
6,16,50,"[147, 163, 103, 367]",0.6744323284156511,0.7062391626204441,0.7859731400554253,0.7439609830326374
7,16,100,"[143, 167, 103, 367]",0.6755099422706863,0.7075314409594473,0.7855467917288423,0.7444847391315788
8,16,150,"[143, 167, 104, 366]",0.6757152020525978,0.7072683756502631,0.786825836708591,0.7449134761189022
