,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,50,0.5,"[163, 147, 96, 374]","[155, 156, 89, 380]","[173, 138, 88, 381]","[143, 168, 73, 396]","[158, 153, 96, 373]","[153, 157, 88, 381]",[1573 1531  880 3811],[1572 1532  895 3796],[1561 1543  877 3814],[1570 1534  867 3824],[1551 1553  886 3805]
1,50,0.75,"[162, 148, 103, 367]","[163, 148, 88, 381]","[180, 131, 86, 383]","[150, 161, 79, 390]","[166, 145, 104, 365]","[149, 161, 93, 376]",[1604 1500  910 3781],[1607 1497  921 3770],[1592 1512  898 3793],[1617 1487  914 3777],[1607 1497  908 3783]
2,50,1.0,"[159, 151, 103, 367]","[160, 151, 95, 374]","[181, 130, 89, 380]","[157, 154, 81, 388]","[173, 138, 106, 363]","[156, 154, 96, 373]",[1638 1466  926 3765],[1620 1484  932 3759],[1612 1492  918 3773],[1611 1493  937 3754],[1633 1471  926 3765]
3,100,0.5,"[161, 149, 99, 371]","[159, 152, 92, 377]","[178, 133, 85, 384]","[149, 162, 80, 389]","[163, 148, 99, 370]","[156, 154, 92, 377]",[1599 1505  902 3789],[1612 1492  915 3776],[1583 1521  899 3792],[1604 1500  895 3796],[1597 1507  899 3792]
4,100,0.75,"[164, 146, 104, 366]","[159, 152, 93, 376]","[179, 132, 82, 387]","[154, 157, 82, 387]","[172, 139, 106, 363]","[154, 156, 99, 370]",[1624 1480  922 3769],[1617 1487  933 3758],[1598 1506  908 3783],[1623 1481  913 3778],[1646 1458  911 3780]
5,100,1.0,"[166, 144, 106, 364]","[158, 153, 93, 376]","[182, 129, 88, 381]","[154, 157, 82, 387]","[170, 141, 105, 364]","[157, 153, 97, 372]",[1637 1467  928 3763],[1620 1484  955 3736],[1620 1484  936 3755],[1634 1470  925 3766],[1647 1457  929 3762]
6,150,0.5,"[162, 148, 103, 367]","[158, 153, 93, 376]","[182, 129, 85, 384]","[153, 158, 82, 387]","[166, 145, 99, 370]","[154, 156, 98, 371]",[1618 1486  910 3781],[1610 1494  925 3766],[1590 1514  907 3784],[1619 1485  894 3797],[1624 1480  913 3778]
7,150,0.75,"[167, 143, 104, 366]","[159, 152, 92, 377]","[180, 131, 85, 384]","[158, 153, 84, 385]","[170, 141, 105, 364]","[153, 157, 98, 371]",[1630 1474  932 3759],[1611 1493  943 3748],[1606 1498  919 3772],[1633 1471  906 3785],[1649 1455  921 3770]
8,150,1.0,"[167, 143, 106, 364]","[156, 155, 94, 375]","[181, 130, 91, 378]","[157, 154, 82, 387]","[169, 142, 102, 367]","[153, 157, 98, 371]",[1636 1468  929 3762],[1623 1481  954 3737],[1615 1489  936 3755],[1637 1467  942 3749],[1652 1452  933 3758]
