,Neighbors,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,14,50,"[143, 167, 104, 366]","[146, 165, 83, 386]","[155, 156, 80, 389]","[160, 151, 85, 384]","[145, 166, 94, 375]","[150, 160, 97, 372]",[1512 1592  924 3767],[1533 1571  978 3713],[1481 1623  956 3735],[1491 1613  971 3720],[1523 1581  961 3730]
1,14,100,"[146, 164, 105, 365]","[147, 164, 84, 385]","[152, 159, 82, 387]","[165, 146, 87, 382]","[145, 166, 94, 375]","[150, 160, 93, 376]",[1518 1586  935 3756],[1523 1581  965 3726],[1482 1622  965 3726],[1485 1619  965 3726],[1533 1571  963 3728]
2,14,150,"[148, 162, 102, 368]","[146, 165, 82, 387]","[152, 159, 84, 385]","[165, 146, 89, 380]","[147, 164, 93, 376]","[151, 159, 93, 376]",[1531 1573  932 3759],[1529 1575  968 3723],[1491 1613  953 3738],[1479 1625  951 3740],[1538 1566  955 3736]
