,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[121, 189, 65, 405]","[204, 107, 151, 318]","[146, 165, 74, 395]","[125, 186, 50, 419]","[133, 178, 77, 392]","[160, 150, 109, 360]",[1596 1508  972 3719],[1413 1691  846 3845],[1538 1566  944 3747],[1554 1550 1002 3689],[1546 1558  937 3754]
1,0.0005,"[162, 148, 95, 375]","[176, 135, 116, 353]","[183, 128, 113, 356]","[167, 144, 99, 370]","[136, 175, 72, 397]","[138, 172, 86, 383]",[1562 1542  916 3775],[1595 1509  932 3759],[1519 1585  902 3789],[1522 1582  909 3782],[1567 1537  978 3713]
2,0.0008,"[130, 180, 74, 396]","[169, 142, 107, 362]","[181, 130, 107, 362]","[126, 185, 63, 406]","[156, 155, 92, 377]","[146, 164, 104, 365]",[1511 1593  879 3812],[1561 1543  939 3752],[1530 1574  898 3793],[1581 1523  987 3704],[1550 1554  930 3761]
3,0.001,"[134, 176, 75, 395]","[164, 147, 102, 367]","[170, 141, 103, 366]","[125, 186, 60, 409]","[156, 155, 91, 378]","[164, 146, 110, 359]",[1508 1596  871 3820],[1551 1553  933 3758],[1540 1564  898 3793],[1569 1535  945 3746],[1542 1562  909 3782]
4,0.002,"[166, 144, 101, 369]","[157, 154, 97, 372]","[165, 146, 93, 376]","[158, 153, 89, 380]","[150, 161, 89, 380]","[153, 157, 103, 366]",[1555 1549  898 3793],[1488 1616  870 3821],[1520 1584  884 3807],[1518 1586  884 3807],[1569 1535  918 3773]
5,0.003,"[164, 146, 95, 375]","[153, 158, 93, 376]","[162, 149, 89, 380]","[117, 194, 56, 413]","[130, 181, 71, 398]","[155, 155, 104, 365]",[1483 1621  844 3847],[1488 1616  853 3838],[1471 1633  831 3860],[1476 1628  844 3847],[1505 1599  878 3813]
6,0.004,"[153, 157, 91, 379]","[153, 158, 92, 377]","[160, 151, 89, 380]","[174, 137, 93, 376]","[128, 183, 65, 404]","[140, 170, 92, 377]",[1498 1606  857 3834],[1469 1635  849 3842],[1436 1668  804 3887],[1522 1582  907 3784],[1451 1653  839 3852]
7,0.005,"[143, 167, 79, 391]","[147, 164, 92, 377]","[159, 152, 89, 380]","[154, 157, 79, 390]","[127, 184, 69, 400]","[136, 174, 90, 379]",[1425 1679  808 3883],[1440 1664  840 3851],[1425 1679  817 3874],[1494 1610  896 3795],[1428 1676  812 3879]
8,0.01,"[129, 181, 73, 397]","[131, 180, 82, 387]","[139, 172, 66, 403]","[130, 181, 62, 407]","[126, 185, 67, 402]","[136, 174, 96, 373]",[1312 1792  734 3957],[1347 1757  783 3908],[1380 1724  776 3915],[1346 1758  778 3913],[1341 1763  771 3920]
