,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[156, 154, 110, 360]","[150, 161, 117, 352]","[158, 153, 111, 358]","[144, 167, 89, 380]","[128, 183, 79, 390]","[158, 152, 127, 342]",[1512 1592 1071 3620],[1544 1560 1084 3607],[1543 1561 1095 3596],[1542 1562 1097 3594],[1509 1595 1074 3617]
1,0.0001,100,"[156, 154, 110, 360]","[150, 161, 117, 352]","[158, 153, 111, 358]","[149, 162, 91, 378]","[128, 183, 79, 390]","[158, 152, 127, 342]",[1517 1587 1073 3618],[1539 1565 1081 3610],[1557 1547 1100 3591],[1541 1563 1096 3595],[1512 1592 1077 3614]
2,0.0001,150,"[156, 154, 110, 360]","[150, 161, 117, 352]","[158, 153, 111, 358]","[149, 162, 91, 378]","[128, 183, 78, 391]","[158, 152, 127, 342]",[1524 1580 1075 3616],[1548 1556 1085 3606],[1546 1558 1089 3602],[1553 1551 1099 3592],[1516 1588 1078 3613]
3,0.001,50,"[156, 154, 109, 361]","[150, 161, 117, 352]","[158, 153, 111, 358]","[149, 162, 91, 378]","[133, 178, 82, 387]","[158, 152, 127, 342]",[1529 1575 1078 3613],[1548 1556 1085 3606],[1539 1565 1085 3606],[1550 1554 1093 3598],[1509 1595 1072 3619]
4,0.001,100,"[156, 154, 109, 361]","[150, 161, 117, 352]","[151, 160, 107, 362]","[149, 162, 91, 378]","[133, 178, 82, 387]","[158, 152, 127, 342]",[1522 1582 1075 3616],[1541 1563 1083 3608],[1540 1564 1085 3606],[1563 1541 1103 3588],[1509 1595 1074 3617]
5,0.001,150,"[155, 155, 109, 361]","[150, 161, 117, 352]","[158, 153, 111, 358]","[149, 162, 91, 378]","[128, 183, 79, 390]","[158, 152, 127, 342]",[1523 1581 1076 3615],[1544 1560 1084 3607],[1540 1564 1085 3606],[1563 1541 1103 3588],[1503 1601 1071 3620]
6,0.01,50,"[73, 237, 48, 422]","[67, 244, 46, 423]","[68, 243, 40, 429]","[62, 249, 40, 429]","[108, 203, 53, 416]","[78, 232, 48, 421]",[ 771 2333  447 4244],[ 823 2281  499 4192],[ 840 2264  485 4206],[ 845 2259  499 4192],[ 895 2209  573 4118]
7,0.01,100,"[73, 237, 48, 422]","[67, 244, 46, 423]","[75, 236, 44, 425]","[62, 249, 40, 429]","[108, 203, 53, 416]","[78, 232, 48, 421]",[ 778 2326  451 4240],[ 823 2281  499 4192],[ 755 2349  420 4271],[ 845 2259  499 4192],[ 821 2283  502 4189]
8,0.01,150,"[73, 237, 48, 422]","[67, 244, 46, 423]","[75, 236, 44, 425]","[62, 249, 40, 429]","[108, 203, 53, 416]","[78, 232, 48, 421]",[ 778 2326  451 4240],[ 823 2281  499 4192],[ 755 2349  420 4271],[ 845 2259  499 4192],[ 822 2282  504 4187]
