,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[1023, 33, 329, 64]","[1019, 37, 315, 78]","[1016, 40, 333, 60]","[1011, 45, 303, 90]","[1005, 51, 309, 84]","[1017, 39, 323, 70]",[10120   440  3209   720],[10119   441  3224   705],[10130   430  3220   709],[10123   437  3227   702],[10120   440  3196   733]
1,200,7,"[1017, 39, 316, 77]","[1008, 48, 302, 91]","[1006, 50, 313, 80]","[996, 60, 292, 101]","[993, 63, 297, 96]","[1013, 43, 316, 77]",[10022   538  3082   847],[10030   530  3107   822],[10025   535  3098   831],[10033   527  3108   821],[10018   542  3100   829]
2,200,10,"[1012, 44, 312, 81]","[998, 58, 297, 96]","[996, 60, 304, 89]","[998, 58, 289, 104]","[994, 62, 300, 93]","[1011, 45, 313, 80]",[9981  579 3048  881],[9989  571 3053  876],[9997  563 3050  879],[9998  562 3051  878],[9987  573 3044  885]
3,300,5,"[1022, 34, 327, 66]","[1019, 37, 315, 78]","[1017, 39, 335, 58]","[1012, 44, 303, 90]","[1005, 51, 310, 83]","[1018, 38, 325, 68]",[10125   435  3217   712],[10112   448  3216   713],[10126   434  3224   705],[10122   438  3217   712],[10117   443  3202   727]
4,300,7,"[1017, 39, 314, 79]","[1008, 48, 304, 89]","[1005, 51, 313, 80]","[997, 59, 291, 102]","[995, 61, 294, 99]","[1013, 43, 318, 75]",[10027   533  3081   848],[10031   529  3114   815],[10027   533  3102   827],[10033   527  3102   827],[10024   536  3097   832]
5,300,10,"[1011, 45, 311, 82]","[999, 57, 301, 92]","[998, 58, 305, 88]","[997, 59, 289, 104]","[995, 61, 301, 92]","[1011, 45, 310, 83]",[9989  571 3049  880],[9997  563 3062  867],[10000   560  3047   882],[9998  562 3050  879],[9983  577 3043  886]
6,400,5,"[1022, 34, 328, 65]","[1017, 39, 315, 78]","[1016, 40, 334, 59]","[1012, 44, 304, 89]","[1005, 51, 308, 85]","[1018, 38, 326, 67]",[10119   441  3211   718],[10116   444  3210   719],[10127   433  3223   706],[10121   439  3221   708],[10123   437  3202   727]
7,400,7,"[1018, 38, 314, 79]","[1007, 49, 305, 88]","[1005, 51, 313, 80]","[998, 58, 291, 102]","[996, 60, 295, 98]","[1013, 43, 319, 74]",[10025   535  3085   844],[10029   531  3111   818],[10033   527  3102   827],[10039   521  3102   827],[10027   533  3091   838]
8,400,10,"[1012, 44, 312, 81]","[999, 57, 303, 90]","[999, 57, 304, 89]","[997, 59, 288, 105]","[993, 63, 303, 90]","[1011, 45, 309, 84]",[9984  576 3048  881],[10000   560  3055   874],[10002   558  3050   879],[10000   560  3053   876],[9985  575 3050  879]
9,500,5,"[1022, 34, 328, 65]","[1018, 38, 315, 78]","[1016, 40, 333, 60]","[1011, 45, 303, 90]","[1003, 53, 307, 86]","[1018, 38, 322, 71]",[10115   445  3205   724],[10122   438  3208   721],[10120   440  3220   709],[10118   442  3216   713],[10121   439  3203   726]
10,500,7,"[1018, 38, 315, 78]","[1010, 46, 307, 86]","[1005, 51, 313, 80]","[999, 57, 290, 103]","[992, 64, 295, 98]","[1013, 43, 320, 73]",[10029   531  3088   841],[10032   528  3107   822],[10035   525  3107   822],[10037   523  3109   820],[10029   531  3094   835]
11,500,10,"[1012, 44, 312, 81]","[998, 58, 302, 91]","[999, 57, 304, 89]","[998, 58, 288, 105]","[994, 62, 302, 91]","[1011, 45, 309, 84]",[9984  576 3045  884],[9998  562 3058  871],[9996  564 3052  877],[9999  561 3054  875],[9989  571 3052  877]
