,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[103, 207, 50, 420]",0.6637331622835151,0.6675366937334645,0.8790449797484545,0.7588244128998666
1,25,0.2,"[139, 171, 75, 395]",0.676818473380372,0.6937933009925004,0.828735877211682,0.7552829827821255
2,25,0.3,"[147, 163, 85, 385]",0.680359204618345,0.7018719285097065,0.8150500959283734,0.7542359825082627
3,25,0.4,"[153, 157, 89, 381]",0.6812572161642078,0.70470537304279,0.8095928373481133,0.7535131310140561
4,25,0.5,"[153, 157, 89, 381]",0.6822835150737653,0.7066277332037988,0.8071626518865912,0.7535524938603095
5,50,0.1,"[139, 171, 75, 395]",0.6766388710711995,0.6933583545262528,0.8295459390321893,0.755361219272513
6,50,0.2,"[152, 158, 89, 381]",0.6813855035279025,0.7046236887525323,0.8101897250053293,0.7537250590887272
7,50,0.3,"[155, 155, 96, 374]",0.682026940346376,0.7068105731864893,0.8059262417395011,0.7531190954611945
8,50,0.4,"[156, 154, 99, 371]",0.6821808851828095,0.7073136736578068,0.8049882754210189,0.7529956486937525
9,50,0.5,"[155, 155, 98, 372]",0.6818986529826813,0.7073995888560167,0.8039650394372202,0.7525948993009315
10,75,0.1,"[147, 163, 84, 386]",0.6802052597819115,0.701348466896165,0.8161159667448304,0.7543909849033985
11,75,0.2,"[155, 155, 96, 374]",0.682001282873637,0.7067841581431855,0.8059262417395011,0.7531041537904885
12,75,0.3,"[156, 154, 98, 372]",0.6820782552918538,0.7073351709115994,0.8046471967597528,0.7528571730590013
13,75,0.4,"[153, 157, 97, 373]",0.6815137908915971,0.7072544943189706,0.8032828821146877,0.7522113823736764
14,75,0.5,"[154, 156, 100, 370]",0.6814881334188583,0.7075451313193329,0.8024301854615221,0.7519996346179012
