,Max_depth,N_estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,50,"[1041, 15, 370, 23]",0.737456001104286,0.654320987654321,0.06744718757953677,0.12228887863405628
1,1,100,"[1031, 25, 345, 48]",0.7424252881496307,0.6315086782376502,0.12038686688724866,0.20222317229585293
2,1,150,"[1028, 28, 339, 54]",0.7453240389260819,0.6269925611052072,0.1501654364978366,0.24229979466119095
3,2,50,"[1028, 28, 337, 56]",0.7449789495479329,0.6203703703703703,0.1534741664545686,0.2460722301571108
4,2,100,"[1021, 35, 325, 68]",0.7481537718269031,0.6164725457570716,0.1885976075337236,0.28883258624049896
5,2,150,"[1019, 37, 322, 71]",0.7493960935882393,0.6173228346456693,0.1995418681598371,0.30159646085785724
6,3,50,"[1020, 36, 319, 74]",0.7485678790806819,0.6134920634920635,0.19674217358106388,0.2979379456542686
7,3,100,"[1020, 36, 319, 74]",0.7491200220857201,0.6139534883720931,0.2015780096716722,0.30350641885418667
8,3,150,"[1019, 37, 314, 79]",0.7500172544689074,0.611962071480671,0.21354034105370323,0.31660377358490566
9,4,50,"[1014, 42, 310, 83]",0.7488439505832011,0.6090225563909775,0.2061593280733011,0.3080433542498574
10,4,100,"[1013, 43, 312, 81]",0.7492580578369797,0.6097922848664689,0.20921354034105372,0.31154064809550885
11,4,150,"[1009, 47, 306, 87]",0.7513976119815032,0.6137787056367432,0.22448460167981674,0.3287364890048453
