,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[102, 208, 51, 419]","[81, 230, 42, 427]","[117, 194, 53, 416]","[68, 243, 29, 440]","[142, 169, 81, 388]","[86, 224, 53, 416]",[ 948 2156  470 4221],[1002 2102  465 4226],[ 985 2119  519 4172],[ 929 2175  454 4237],[ 942 2162  461 4230]
1,0.0005,"[119, 191, 71, 399]","[107, 204, 58, 411]","[143, 168, 63, 406]","[110, 201, 60, 409]","[122, 189, 69, 400]","[110, 200, 63, 406]",[1174 1930  600 4091],[1112 1992  570 4121],[1166 1938  624 4067],[1114 1990  550 4141],[1046 2058  515 4176]
2,0.0008,"[120, 190, 71, 399]","[116, 195, 68, 401]","[130, 181, 64, 405]","[111, 200, 59, 410]","[134, 177, 67, 402]","[102, 208, 53, 416]",[1185 1919  625 4066],[1206 1898  634 4057],[1224 1880  642 4049],[1120 1984  570 4121],[1202 1902  617 4074]
3,0.001,"[109, 201, 63, 407]","[136, 175, 80, 389]","[119, 192, 60, 409]","[114, 197, 52, 417]","[118, 193, 55, 414]","[110, 200, 59, 410]",[1180 1924  578 4113],[1237 1867  650 4041],[1233 1871  651 4040],[1193 1911  587 4104],[1252 1852  666 4025]
4,0.002,"[118, 192, 65, 405]","[129, 182, 88, 381]","[148, 163, 71, 398]","[124, 187, 51, 418]","[130, 181, 71, 398]","[122, 188, 70, 399]",[1254 1850  646 4045],[1183 1921  675 4016],[1230 1874  665 4026],[1303 1801  677 4014],[1291 1813  677 4014]
5,0.003,"[116, 194, 70, 400]","[111, 200, 56, 413]","[103, 208, 56, 413]","[123, 188, 59, 410]","[124, 187, 71, 398]","[113, 197, 73, 396]",[1160 1944  613 4078],[1203 1901  618 4073],[1190 1914  645 4046],[1203 1901  659 4032],[1206 1898  610 4081]
6,0.004,"[120, 190, 64, 406]","[102, 209, 51, 418]","[128, 183, 62, 407]","[117, 194, 52, 417]","[102, 209, 61, 408]","[110, 200, 67, 402]",[1139 1965  568 4123],[1192 1912  643 4048],[1215 1889  643 4048],[1153 1951  620 4071],[1238 1866  663 4028]
7,0.005,"[112, 198, 59, 411]","[80, 231, 43, 426]","[140, 171, 69, 400]","[91, 220, 49, 420]","[110, 201, 65, 404]","[106, 204, 67, 402]",[1084 2020  583 4108],[1166 1938  637 4054],[1154 1950  618 4073],[1193 1911  637 4054],[1069 2035  588 4103]
8,0.01,"[85, 225, 41, 429]","[93, 218, 57, 412]","[90, 221, 42, 427]","[68, 243, 39, 430]","[121, 190, 63, 406]","[85, 225, 50, 419]",[ 853 2251  437 4254],[ 866 2238  428 4263],[ 816 2288  414 4277],[ 877 2227  440 4251],[ 948 2156  492 4199]
