,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[1013, 43, 311, 82]","[1007, 49, 304, 89]","[1005, 51, 318, 75]","[989, 67, 291, 102]","[993, 63, 307, 86]","[1008, 48, 309, 84]",[9997  563 3087  842],[10012   548  3075   854],[9999  561 3086  843],[9992  568 3067  862],[10003   557  3101   828]
1,3,75,"[1012, 44, 312, 81]","[999, 57, 304, 89]","[1001, 55, 312, 81]","[993, 63, 290, 103]","[989, 67, 306, 87]","[1008, 48, 309, 84]",[9986  574 3072  857],[10000   560  3079   850],[10007   553  3075   854],[9984  576 3069  860],[9991  569 3092  837]
2,3,100,"[1013, 43, 309, 84]","[997, 59, 301, 92]","[1000, 56, 309, 84]","[995, 61, 289, 104]","[989, 67, 303, 90]","[1007, 49, 307, 86]",[9977  583 3050  879],[9986  574 3065  864],[9991  569 3066  863],[9967  593 3055  874],[9980  580 3068  861]
3,3,125,"[1012, 44, 310, 83]","[998, 58, 301, 92]","[999, 57, 307, 86]","[997, 59, 289, 104]","[988, 68, 300, 93]","[1004, 52, 304, 89]",[9967  593 3037  892],[9972  588 3044  885],[9975  585 3044  885],[9965  595 3041  888],[9963  597 3048  881]
4,3,150,"[1014, 42, 309, 84]","[999, 57, 299, 94]","[999, 57, 301, 92]","[998, 58, 289, 104]","[987, 69, 300, 93]","[1004, 52, 304, 89]",[9967  593 3022  907],[9959  601 3030  899],[9968  592 3035  894],[9957  603 3027  902],[9953  607 3041  888]
5,4,50,"[1013, 43, 315, 78]","[1001, 55, 299, 94]","[998, 58, 312, 81]","[994, 62, 292, 101]","[989, 67, 300, 93]","[1011, 45, 316, 77]",[9988  572 3076  853],[10005   555  3071   858],[10003   557  3086   843],[9999  561 3085  844],[9998  562 3113  816]
6,4,75,"[1016, 40, 316, 77]","[1000, 56, 300, 93]","[1000, 56, 308, 85]","[996, 60, 290, 103]","[993, 63, 298, 95]","[1010, 46, 310, 83]",[9991  569 3057  872],[9989  571 3065  864],[9996  564 3063  866],[9980  580 3068  861],[9983  577 3078  851]
7,4,100,"[1016, 40, 312, 81]","[999, 57, 301, 92]","[998, 58, 301, 92]","[996, 60, 291, 102]","[992, 64, 298, 95]","[1008, 48, 310, 83]",[9974  586 3048  881],[9968  592 3047  882],[9989  571 3054  875],[9967  593 3051  878],[9975  585 3063  866]
8,4,125,"[1013, 43, 308, 85]","[1000, 56, 298, 95]","[997, 59, 298, 95]","[995, 61, 290, 103]","[990, 66, 298, 95]","[1008, 48, 309, 84]",[9966  594 3025  904],[9962  598 3027  902],[9975  585 3046  883],[9954  606 3037  892],[9966  594 3056  873]
9,4,150,"[1013, 43, 309, 84]","[1000, 56, 300, 93]","[994, 62, 293, 100]","[993, 63, 284, 109]","[988, 68, 295, 98]","[1002, 54, 305, 88]",[9949  611 3007  922],[9935  625 3014  915],[9953  607 3037  892],[9936  624 3022  907],[9960  600 3044  885]
10,5,50,"[1012, 44, 313, 80]","[1000, 56, 299, 94]","[1001, 55, 309, 84]","[992, 64, 286, 107]","[991, 65, 300, 93]","[1011, 45, 312, 81]",[9987  573 3049  880],[9972  588 3066  863],[9991  569 3098  831],[9969  591 3069  860],[9964  596 3066  863]
11,5,75,"[1012, 44, 311, 82]","[998, 58, 299, 94]","[998, 58, 303, 90]","[993, 63, 282, 111]","[991, 65, 299, 94]","[1006, 50, 312, 81]",[9968  592 3030  899],[9964  596 3033  896],[9982  578 3063  866],[9955  605 3079  850],[9967  593 3055  874]
12,5,100,"[1012, 44, 310, 83]","[999, 57, 300, 93]","[993, 63, 296, 97]","[991, 65, 283, 110]","[990, 66, 299, 94]","[1003, 53, 305, 88]",[9956  604 3014  915],[9952  608 3020  909],[9964  596 3040  889],[9939  621 3048  881],[9936  624 3034  895]
13,5,125,"[1009, 47, 307, 86]","[998, 58, 301, 92]","[992, 64, 293, 100]","[991, 65, 282, 111]","[985, 71, 297, 96]","[1001, 55, 303, 90]",[9938  622 2998  931],[9935  625 3005  924],[9938  622 3028  901],[9916  644 3034  895],[9915  645 3023  906]
14,5,150,"[1009, 47, 305, 88]","[999, 57, 297, 96]","[990, 66, 289, 104]","[990, 66, 279, 114]","[986, 70, 296, 97]","[999, 57, 301, 92]",[9931  629 2979  950],[9914  646 2990  939],[9922  638 3011  918],[9898  662 3016  913],[9904  656 3003  926]
15,6,50,"[1017, 39, 312, 81]","[998, 58, 297, 96]","[990, 66, 306, 87]","[994, 62, 292, 101]","[987, 69, 306, 87]","[1005, 51, 311, 82]",[9964  596 3050  879],[9969  591 3062  867],[9962  598 3075  854],[9962  598 3061  868],[9947  613 3072  857]
16,6,75,"[1014, 42, 311, 82]","[999, 57, 302, 91]","[991, 65, 302, 91]","[993, 63, 289, 104]","[993, 63, 303, 90]","[1003, 53, 306, 87]",[9960  600 3023  906],[9949  611 3045  884],[9950  610 3063  866],[9932  628 3060  869],[9934  626 3056  873]
17,6,100,"[1013, 43, 307, 86]","[1001, 55, 301, 92]","[988, 68, 294, 99]","[990, 66, 284, 109]","[992, 64, 304, 89]","[1003, 53, 303, 90]",[9949  611 3003  926],[9931  629 3015  914],[9924  636 3030  899],[9921  639 3026  903],[9917  643 3027  902]
18,6,125,"[1011, 45, 304, 89]","[994, 62, 299, 94]","[984, 72, 294, 99]","[990, 66, 283, 110]","[990, 66, 304, 89]","[998, 58, 301, 92]",[9921  639 2986  943],[9911  649 3001  928],[9910  650 3012  917],[9895  665 3015  914],[9888  672 3014  915]
19,6,150,"[1010, 46, 305, 88]","[992, 64, 298, 95]","[976, 80, 292, 101]","[990, 66, 275, 118]","[986, 70, 302, 91]","[996, 60, 301, 92]",[9892  668 2974  955],[9891  669 2984  945],[9894  666 2988  941],[9867  693 2996  933],[9882  678 2994  935]
