,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,3,"[50, 100, 150]",100,"[159, 151, 97, 373]","[156, 155, 92, 377]","[183, 128, 95, 374]","[137, 174, 78, 391]","[163, 148, 92, 377]","[153, 157, 90, 379]",[1592 1512  905 3786],[1585 1519  943 3748],[1566 1538  893 3798],[1569 1535  921 3770],[1579 1525  926 3765]
20,3,"[50, 100, 150]",150,"[160, 150, 97, 373]","[157, 154, 92, 377]","[183, 128, 95, 374]","[139, 172, 78, 391]","[163, 148, 92, 377]","[156, 154, 90, 379]",[1596 1508  905 3786],[1581 1523  939 3752],[1567 1537  896 3795],[1575 1529  920 3771],[1578 1526  924 3767]
21,3,"[50, 100, 150]",50,"[163, 147, 101, 369]","[159, 152, 92, 377]","[182, 129, 85, 384]","[148, 163, 81, 388]","[170, 141, 98, 371]","[153, 157, 87, 382]",[1610 1494  910 3781],[1610 1494  943 3748],[1595 1509  894 3797],[1590 1514  930 3761],[1604 1500  925 3766]
22,3,"[50, 100, 150]",100,"[165, 145, 99, 371]","[157, 154, 93, 376]","[179, 132, 85, 384]","[147, 164, 81, 388]","[170, 141, 95, 374]","[153, 157, 87, 382]",[1611 1493  901 3790],[1605 1499  936 3755],[1607 1497  898 3793],[1591 1513  930 3761],[1609 1495  930 3761]
23,3,"[50, 100, 150]",150,"[163, 147, 102, 368]","[156, 155, 92, 377]","[181, 130, 87, 382]","[149, 162, 80, 389]","[170, 141, 95, 374]","[154, 156, 90, 379]",[1613 1491  906 3785],[1609 1495  945 3746],[1608 1496  900 3791],[1592 1512  937 3754],[1609 1495  931 3760]
24,3,"[50, 100, 150]",50,"[161, 149, 101, 369]","[159, 152, 89, 380]","[184, 127, 89, 380]","[156, 155, 82, 387]","[171, 140, 98, 371]","[156, 154, 90, 379]",[1631 1473  915 3776],[1629 1475  953 3738],[1634 1470  908 3783],[1626 1478  956 3735],[1628 1476  942 3749]
25,3,"[50, 100, 150]",100,"[161, 149, 101, 369]","[159, 152, 91, 378]","[182, 129, 92, 377]","[151, 160, 83, 386]","[169, 142, 96, 373]","[156, 154, 89, 380]",[1624 1480  918 3773],[1626 1478  963 3728],[1635 1469  911 3780],[1627 1477  954 3737],[1629 1475  940 3751]
26,3,"[50, 100, 150]",150,"[162, 148, 101, 369]","[159, 152, 92, 377]","[181, 130, 89, 380]","[153, 158, 84, 385]","[167, 144, 96, 373]","[156, 154, 88, 381]",[1623 1481  913 3778],[1630 1474  961 3730],[1636 1468  916 3775],[1621 1483  953 3738],[1634 1470  945 3746]
27,4,"[50, 100, 150]",50,"[161, 149, 101, 369]","[158, 153, 96, 373]","[182, 129, 92, 377]","[146, 165, 80, 389]","[169, 142, 94, 375]","[157, 153, 90, 379]",[1611 1493  923 3768],[1611 1493  972 3719],[1620 1484  928 3763],[1605 1499  966 3725],[1619 1485  953 3738]
28,4,"[50, 100, 150]",100,"[160, 150, 101, 369]","[158, 153, 95, 374]","[181, 130, 91, 378]","[147, 164, 80, 389]","[172, 139, 95, 374]","[156, 154, 92, 377]",[1618 1486  929 3762],[1616 1488  979 3712],[1613 1491  926 3765],[1620 1484  969 3722],[1630 1474  955 3736]
29,4,"[50, 100, 150]",150,"[161, 149, 100, 370]","[158, 153, 96, 373]","[181, 130, 90, 379]","[146, 165, 79, 390]","[169, 142, 94, 375]","[155, 155, 92, 377]",[1616 1488  923 3768],[1620 1484  977 3714],[1619 1485  926 3765],[1626 1478  970 3721],[1626 1478  955 3736]
30,4,"[50, 100, 150]",50,"[162, 148, 102, 368]","[157, 154, 91, 378]","[181, 130, 90, 379]","[154, 157, 85, 384]","[169, 142, 96, 373]","[157, 153, 90, 379]",[1631 1473  925 3766],[1630 1474  964 3727],[1627 1477  922 3769],[1646 1458  963 3728],[1635 1469  952 3739]
31,4,"[50, 100, 150]",100,"[161, 149, 103, 367]","[158, 153, 93, 376]","[181, 130, 91, 378]","[156, 155, 85, 384]","[168, 143, 98, 371]","[156, 154, 89, 380]",[1631 1473  929 3762],[1632 1472  969 3722],[1627 1477  927 3764],[1640 1464  969 3722],[1634 1470  958 3733]
32,4,"[50, 100, 150]",150,"[161, 149, 102, 368]","[157, 154, 94, 375]","[181, 130, 91, 378]","[156, 155, 85, 384]","[169, 142, 98, 371]","[155, 155, 91, 378]",[1630 1474  936 3755],[1631 1473  972 3719],[1629 1475  931 3760],[1645 1459  970 3721],[1632 1472  959 3732]
33,4,"[50, 100, 150]",50,"[166, 144, 104, 366]","[164, 147, 94, 375]","[181, 130, 89, 380]","[158, 153, 88, 381]","[170, 141, 99, 370]","[154, 156, 94, 375]",[1650 1454  954 3737],[1647 1457  974 3717],[1657 1447  944 3747],[1651 1453  980 3711],[1646 1458  978 3713]
34,4,"[50, 100, 150]",100,"[164, 146, 105, 365]","[162, 149, 93, 376]","[181, 130, 90, 379]","[158, 153, 90, 379]","[172, 139, 101, 368]","[155, 155, 94, 375]",[1650 1454  957 3734],[1654 1450  969 3722],[1659 1445  949 3742],[1655 1449  983 3708],[1655 1449  977 3714]
35,4,"[50, 100, 150]",150,"[163, 147, 104, 366]","[162, 149, 91, 378]","[180, 131, 91, 378]","[157, 154, 91, 378]","[170, 141, 101, 368]","[155, 155, 92, 377]",[1648 1456  953 3738],[1648 1456  971 3720],[1668 1436  950 3741],[1653 1451  981 3710],[1650 1454  978 3713]
