,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[128, 182, 63, 407]","[127, 184, 75, 394]","[132, 179, 66, 403]","[128, 183, 58, 411]","[123, 188, 68, 401]","[130, 180, 73, 396]",[1261 1843  697 3994],[1273 1831  711 3980],[1252 1852  675 4016],[1243 1861  682 4009],[1263 1841  700 3991]
1,25,0.2,"[150, 160, 90, 380]","[148, 163, 91, 378]","[167, 144, 89, 380]","[149, 162, 74, 395]","[148, 163, 87, 382]","[146, 164, 89, 380]",[1504 1600  875 3816],[1504 1600  866 3825],[1484 1620  858 3833],[1510 1594  842 3849],[1529 1575  866 3825]
2,25,0.3,"[156, 154, 96, 374]","[150, 161, 95, 374]","[168, 143, 89, 380]","[152, 159, 75, 394]","[152, 159, 90, 379]","[148, 162, 95, 374]",[1535 1569  913 3778],[1556 1548  905 3786],[1538 1566  884 3807],[1563 1541  888 3803],[1564 1540  898 3793]
3,25,0.4,"[158, 152, 93, 377]","[154, 157, 94, 375]","[166, 145, 92, 377]","[153, 158, 77, 392]","[154, 157, 91, 378]","[153, 157, 99, 370]",[1544 1560  902 3789],[1544 1560  906 3785],[1546 1558  884 3807],[1536 1568  867 3824],[1573 1531  907 3784]
4,25,0.5,"[17, 293, 4, 466]","[6, 305, 1, 468]","[5, 306, 1, 468]","[6, 305, 0, 469]","[15, 296, 4, 465]","[16, 294, 3, 466]",[  86 3018   23 4668],[ 109 2995   34 4657],[ 118 2986   36 4655],[ 109 2995   27 4664],[ 110 2994   25 4666]
5,50,0.1,"[148, 162, 90, 380]","[148, 163, 91, 378]","[166, 145, 89, 380]","[148, 163, 74, 395]","[148, 163, 87, 382]","[146, 164, 89, 380]",[1498 1606  871 3820],[1501 1603  864 3827],[1480 1624  856 3835],[1502 1602  841 3850],[1525 1579  860 3831]
6,50,0.2,"[158, 152, 93, 377]","[154, 157, 96, 373]","[170, 141, 94, 375]","[153, 158, 76, 393]","[154, 157, 91, 378]","[153, 157, 100, 369]",[1556 1548  923 3768],[1567 1537  921 3770],[1558 1546  891 3800],[1579 1525  901 3790],[1577 1527  909 3782]
7,50,0.3,"[159, 151, 94, 376]","[156, 155, 97, 372]","[172, 139, 95, 374]","[151, 160, 79, 390]","[158, 153, 94, 375]","[155, 155, 102, 367]",[1580 1524  930 3761],[1562 1542  927 3764],[1578 1526  896 3795],[1593 1511  894 3797],[1578 1526  914 3777]
8,50,0.4,"[159, 151, 95, 375]","[157, 154, 98, 371]","[174, 137, 94, 375]","[153, 158, 79, 390]","[159, 152, 95, 374]","[157, 153, 104, 365]",[1599 1505  941 3750],[1571 1533  937 3754],[1585 1519  909 3782],[1611 1493  904 3787],[1593 1511  913 3778]
9,50,0.5,"[297, 13, 363, 107]","[294, 17, 399, 70]","[303, 8, 406, 63]","[301, 10, 366, 103]","[302, 9, 380, 89]","[288, 22, 368, 101]",[2984  120 3891  800],[2948  156 3724  967],[2948  156 3749  942],[2974  130 3888  803],[2965  139 3764  927]
10,75,0.1,"[155, 155, 96, 374]","[150, 161, 95, 374]","[168, 143, 89, 380]","[152, 159, 76, 393]","[152, 159, 90, 379]","[148, 162, 95, 374]",[1532 1572  913 3778],[1554 1550  904 3787],[1535 1569  886 3805],[1558 1546  886 3805],[1564 1540  895 3796]
11,75,0.2,"[159, 151, 94, 376]","[156, 155, 97, 372]","[172, 139, 95, 374]","[151, 160, 78, 391]","[158, 153, 94, 375]","[155, 155, 102, 367]",[1580 1524  929 3762],[1563 1541  927 3764],[1577 1527  895 3796],[1592 1512  894 3797],[1578 1526  913 3778]
12,75,0.3,"[160, 150, 97, 373]","[156, 155, 97, 372]","[176, 135, 95, 374]","[154, 157, 78, 391]","[159, 152, 93, 376]","[156, 154, 104, 365]",[1599 1505  939 3752],[1570 1534  936 3755],[1587 1517  913 3778],[1598 1506  901 3790],[1590 1514  919 3772]
13,75,0.4,"[159, 151, 97, 373]","[155, 156, 96, 373]","[174, 137, 94, 375]","[156, 155, 78, 391]","[158, 153, 91, 378]","[156, 154, 104, 365]",[1597 1507  937 3754],[1573 1531  942 3749],[1585 1519  921 3770],[1602 1502  905 3786],[1603 1501  915 3776]
14,75,0.5,"[20, 290, 7, 463]","[11, 300, 2, 467]","[6, 305, 2, 467]","[6, 305, 1, 468]","[18, 293, 5, 464]","[18, 292, 5, 464]",[ 111 2993   34 4657],[ 145 2959   44 4647],[ 143 2961   44 4647],[ 141 2963   39 4652],[ 132 2972   37 4654]
