,Gauss,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,100,"[180, 130, 143, 327]","[261, 50, 287, 182]","[167, 144, 114, 355]","[187, 124, 120, 349]","[247, 64, 230, 239]","[264, 46, 277, 192]",[2287  817 2170 2521],[2063 1041 1750 2941],[2182  922 2001 2690],[2142  962 1889 2802],[2151  953 1881 2810]
1,1,200,"[180, 130, 144, 326]","[260, 51, 288, 181]","[168, 143, 114, 355]","[185, 126, 117, 352]","[254, 57, 244, 225]","[263, 47, 277, 192]",[2293  811 2183 2508],[2064 1040 1751 2940],[2182  922 1998 2693],[2149  955 1901 2790],[2152  952 1871 2820]
2,1,300,"[180, 130, 144, 326]","[259, 52, 286, 183]","[169, 142, 114, 355]","[183, 128, 118, 351]","[260, 51, 256, 213]","[263, 47, 277, 192]",[2299  805 2193 2498],[2064 1040 1750 2941],[2180  924 2000 2691],[2150  954 1897 2794],[2151  953 1870 2821]
3,1,400,"[180, 130, 144, 326]","[259, 52, 286, 183]","[168, 143, 113, 356]","[185, 126, 120, 349]","[260, 51, 256, 213]","[263, 47, 277, 192]",[2300  804 2198 2493],[2063 1041 1753 2938],[2182  922 1999 2692],[2149  955 1894 2797],[2149  955 1870 2821]
4,1,500,"[179, 131, 144, 326]","[259, 52, 285, 184]","[168, 143, 113, 356]","[185, 126, 120, 349]","[261, 50, 256, 213]","[264, 46, 277, 192]",[2301  803 2196 2495],[2063 1041 1753 2938],[2180  924 2003 2688],[2146  958 1893 2798],[2151  953 1872 2819]
5,1,800,"[180, 130, 144, 326]","[260, 51, 286, 183]","[167, 144, 113, 356]","[186, 125, 120, 349]","[259, 52, 255, 214]","[262, 48, 277, 192]",[2297  807 2199 2492],[2063 1041 1757 2934],[2178  926 1996 2695],[2145  959 1888 2803],[2153  951 1874 2817]
6,1,1000,"[180, 130, 144, 326]","[261, 50, 287, 182]","[167, 144, 113, 356]","[187, 124, 120, 349]","[259, 52, 255, 214]","[264, 46, 277, 192]",[2302  802 2200 2491],[2060 1044 1758 2933],[2177  927 1993 2698],[2146  958 1890 2801],[2153  951 1878 2813]
7,0,100,"[196, 114, 147, 323]","[198, 113, 159, 310]","[208, 103, 141, 328]","[211, 100, 129, 340]","[206, 105, 156, 313]","[189, 121, 154, 315]",[2004 1100 1523 3168],[1990 1114 1525 3166],[1993 1111 1511 3180],[1991 1113 1510 3181],[2021 1083 1528 3163]
8,0,200,"[196, 114, 148, 322]","[199, 112, 157, 312]","[208, 103, 141, 328]","[212, 99, 129, 340]","[207, 104, 155, 314]","[191, 119, 154, 315]",[2007 1097 1519 3172],[1989 1115 1525 3166],[1992 1112 1511 3180],[1988 1116 1511 3180],[2024 1080 1532 3159]
9,0,300,"[196, 114, 148, 322]","[198, 113, 158, 311]","[208, 103, 141, 328]","[210, 101, 129, 340]","[207, 104, 155, 314]","[192, 118, 154, 315]",[2005 1099 1520 3171],[1989 1115 1524 3167],[1989 1115 1512 3179],[1985 1119 1509 3182],[2021 1083 1530 3161]
10,0,400,"[196, 114, 148, 322]","[198, 113, 158, 311]","[208, 103, 141, 328]","[211, 100, 129, 340]","[205, 106, 156, 313]","[192, 118, 154, 315]",[2004 1100 1524 3167],[1990 1114 1524 3167],[1992 1112 1512 3179],[1990 1114 1509 3182],[2022 1082 1530 3161]
11,0,500,"[196, 114, 148, 322]","[197, 114, 158, 311]","[208, 103, 141, 328]","[210, 101, 129, 340]","[205, 106, 156, 313]","[192, 118, 154, 315]",[2002 1102 1524 3167],[1990 1114 1521 3170],[1990 1114 1512 3179],[1987 1117 1509 3182],[2022 1082 1531 3160]
12,0,800,"[196, 114, 148, 322]","[197, 114, 158, 311]","[207, 104, 141, 328]","[210, 101, 129, 340]","[205, 106, 156, 313]","[192, 118, 154, 315]",[2001 1103 1525 3166],[1992 1112 1519 3172],[1990 1114 1514 3177],[1987 1117 1509 3182],[2021 1083 1532 3159]
13,0,1000,"[196, 114, 149, 321]","[197, 114, 159, 310]","[207, 104, 141, 328]","[210, 101, 129, 340]","[205, 106, 156, 313]","[192, 118, 154, 315]",[2001 1103 1527 3164],[1991 1113 1520 3171],[1991 1113 1513 3178],[1986 1118 1511 3180],[2021 1083 1533 3158]
