,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[1021, 35, 325, 68]","[1020, 36, 320, 73]","[1014, 42, 332, 61]","[1011, 45, 305, 88]","[1007, 49, 308, 85]","[1015, 41, 322, 71]",[10110   450  3205   724],[10117   443  3196   733],[10113   447  3198   731],[10118   442  3215   714],[10108   452  3204   725]
1,200,7,"[1015, 41, 315, 78]","[1003, 53, 305, 88]","[1007, 49, 312, 81]","[998, 58, 294, 99]","[992, 64, 299, 94]","[1009, 47, 317, 76]",[10015   545  3094   835],[10025   535  3098   831],[10036   524  3094   835],[10040   520  3100   829],[10022   538  3090   839]
2,200,10,"[1012, 44, 310, 83]","[1000, 56, 300, 93]","[1001, 55, 307, 86]","[1002, 54, 286, 107]","[997, 59, 296, 97]","[1009, 47, 311, 82]",[9991  569 3047  882],[9992  568 3064  865],[9981  579 3056  873],[9989  571 3043  886],[9986  574 3054  875]
3,300,5,"[1019, 37, 325, 68]","[1018, 38, 319, 74]","[1013, 43, 330, 63]","[1011, 45, 303, 90]","[1004, 52, 305, 88]","[1018, 38, 324, 69]",[10102   458  3198   731],[10112   448  3195   734],[10111   449  3199   730],[10113   447  3196   733],[10107   453  3200   729]
4,300,7,"[1015, 41, 315, 78]","[1005, 51, 306, 87]","[1007, 49, 311, 82]","[998, 58, 296, 97]","[993, 63, 298, 95]","[1010, 46, 317, 76]",[10021   539  3097   832],[10024   536  3095   834],[10035   525  3089   840],[10043   517  3100   829],[10023   537  3091   838]
5,300,10,"[1012, 44, 311, 82]","[1002, 54, 301, 92]","[1001, 55, 308, 85]","[996, 60, 284, 109]","[999, 57, 296, 97]","[1012, 44, 311, 82]",[9986  574 3052  877],[9992  568 3059  870],[9985  575 3058  871],[9978  582 3048  881],[9994  566 3053  876]
6,400,5,"[1019, 37, 324, 69]","[1019, 37, 319, 74]","[1014, 42, 331, 62]","[1009, 47, 300, 93]","[1004, 52, 305, 88]","[1018, 38, 325, 68]",[10100   460  3199   730],[10108   452  3194   735],[10108   452  3203   726],[10115   445  3206   723],[10111   449  3199   730]
7,400,7,"[1014, 42, 314, 79]","[1006, 50, 306, 87]","[1006, 50, 311, 82]","[997, 59, 295, 98]","[990, 66, 295, 98]","[1010, 46, 317, 76]",[10017   543  3093   836],[10023   537  3094   835],[10031   529  3091   838],[10038   522  3108   821],[10020   540  3086   843]
8,400,10,"[1013, 43, 310, 83]","[997, 59, 302, 91]","[1002, 54, 308, 85]","[1000, 56, 283, 110]","[996, 60, 295, 98]","[1011, 45, 312, 81]",[9984  576 3052  877],[9988  572 3057  872],[9992  568 3052  877],[9976  584 3043  886],[9987  573 3051  878]
9,500,5,"[1019, 37, 324, 69]","[1019, 37, 318, 75]","[1015, 41, 333, 60]","[1009, 47, 301, 92]","[1005, 51, 307, 86]","[1018, 38, 325, 68]",[10105   455  3202   727],[10113   447  3196   733],[10107   453  3200   729],[10119   441  3207   722],[10120   440  3210   719]
10,500,7,"[1014, 42, 315, 78]","[1004, 52, 304, 89]","[1007, 49, 311, 82]","[997, 59, 295, 98]","[993, 63, 295, 98]","[1010, 46, 318, 75]",[10017   543  3090   839],[10030   530  3090   839],[10035   525  3094   835],[10040   520  3107   822],[10026   534  3088   841]
11,500,10,"[1012, 44, 310, 83]","[998, 58, 302, 91]","[1003, 53, 307, 86]","[997, 59, 287, 106]","[997, 59, 296, 97]","[1010, 46, 314, 79]",[9980  580 3054  875],[9991  569 3055  874],[9995  565 3046  883],[9981  579 3043  886],[9989  571 3048  881]
