,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[130, 180, 70, 400]","[130, 181, 76, 393]","[136, 175, 73, 396]","[128, 183, 58, 411]","[123, 188, 71, 398]","[128, 182, 73, 396]",[1292 1812  726 3965],[1279 1825  724 3967],[1280 1824  708 3983],[1280 1824  714 3977],[1303 1801  723 3968]
1,25,0.2,"[150, 160, 90, 380]","[148, 163, 86, 383]","[164, 147, 86, 383]","[151, 160, 72, 397]","[143, 168, 88, 381]","[150, 160, 91, 378]",[1515 1589  871 3820],[1493 1611  874 3817],[1494 1610  857 3834],[1523 1581  861 3830],[1522 1582  868 3823]
2,25,0.3,"[152, 158, 96, 374]","[151, 160, 90, 379]","[168, 143, 88, 381]","[152, 159, 76, 393]","[153, 158, 93, 376]","[151, 159, 97, 372]",[1554 1550  908 3783],[1539 1565  905 3786],[1538 1566  879 3812],[1570 1534  888 3803],[1564 1540  894 3797]
3,25,0.4,"[10, 300, 3, 467]","[5, 306, 0, 469]","[3, 308, 1, 468]","[2, 309, 0, 469]","[12, 299, 1, 468]","[10, 300, 3, 466]",[  56 3048   14 4677],[  53 3051   12 4679],[  51 3053   12 4679],[  58 3046   15 4676],[  55 3049   12 4679]
4,25,0.5,"[0, 310, 2, 468]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[2, 309, 0, 469]","[1, 309, 1, 468]",[   9 3095    4 4687],[   6 3098    5 4686],[   9 3095    2 4689],[   8 3096    2 4689],[   5 3099    4 4687]
5,50,0.1,"[150, 160, 90, 380]","[148, 163, 86, 383]","[164, 147, 86, 383]","[151, 160, 72, 397]","[143, 168, 87, 382]","[150, 160, 91, 378]",[1515 1589  869 3822],[1484 1620  867 3824],[1487 1617  850 3841],[1519 1585  857 3834],[1518 1586  864 3827]
6,50,0.2,"[157, 153, 95, 375]","[155, 156, 93, 376]","[171, 140, 91, 378]","[153, 158, 79, 390]","[152, 159, 93, 376]","[152, 158, 99, 370]",[1571 1533  918 3773],[1550 1554  914 3777],[1561 1543  897 3794],[1585 1519  904 3787],[1583 1521  919 3772]
7,50,0.3,"[157, 153, 96, 374]","[155, 156, 97, 372]","[169, 142, 94, 375]","[151, 160, 81, 388]","[154, 157, 96, 373]","[162, 148, 103, 366]",[1586 1518  935 3756],[1564 1540  931 3760],[1575 1529  912 3779],[1596 1508  914 3777],[1582 1522  920 3771]
8,50,0.4,"[302, 8, 409, 61]","[297, 14, 422, 47]","[306, 5, 430, 39]","[307, 4, 422, 47]","[306, 5, 426, 43]","[301, 9, 414, 55]",[3035   69 4206  485],[3029   75 4193  498],[3033   71 4252  439],[3024   80 4200  491],[3028   76 4177  514]
9,50,0.5,"[310, 0, 470, 0]","[311, 0, 469, 0]","[311, 0, 469, 0]","[311, 0, 469, 0]","[310, 1, 469, 0]","[310, 0, 468, 1]",[3103    1 4687    4],[3101    3 4690    1],[3102    2 4691    0],[3102    2 4686    5],[3103    1 4689    2]
10,75,0.1,"[151, 159, 96, 374]","[152, 159, 90, 379]","[168, 143, 88, 381]","[152, 159, 76, 393]","[153, 158, 93, 376]","[151, 159, 97, 372]",[1556 1548  909 3782],[1538 1566  905 3786],[1546 1558  888 3803],[1571 1533  894 3797],[1567 1537  899 3792]
11,75,0.2,"[157, 153, 96, 374]","[155, 156, 97, 372]","[169, 142, 94, 375]","[151, 160, 81, 388]","[154, 157, 96, 373]","[161, 149, 103, 366]",[1585 1519  935 3756],[1564 1540  930 3761],[1573 1531  911 3780],[1596 1508  913 3778],[1583 1521  919 3772]
12,75,0.3,"[158, 152, 94, 376]","[152, 159, 99, 370]","[173, 138, 92, 377]","[151, 160, 78, 391]","[160, 151, 96, 373]","[165, 145, 106, 363]",[1605 1499  936 3755],[1581 1523  934 3757],[1585 1519  921 3770],[1613 1491  914 3777],[1593 1511  923 3768]
13,75,0.4,"[12, 298, 3, 467]","[8, 303, 0, 469]","[5, 306, 1, 468]","[3, 308, 0, 469]","[13, 298, 2, 467]","[15, 295, 3, 466]",[  84 3020   15 4676],[  72 3032   16 4675],[  81 3023   20 4671],[  76 3028   22 4669],[  78 3026   14 4677]
14,75,0.5,"[1, 309, 2, 468]","[0, 311, 0, 469]","[0, 311, 1, 468]","[0, 311, 0, 469]","[1, 310, 0, 469]","[3, 307, 1, 468]",[  10 3094    5 4686],[   8 3096    5 4686],[   8 3096    3 4688],[  10 3094    4 4687],[   9 3095    4 4687]
