,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[157, 153, 100, 370]","[145, 166, 87, 382]","[169, 142, 86, 383]","[164, 147, 85, 384]","[155, 156, 93, 376]","[158, 152, 106, 363]",[1614 1490  927 3764],[1633 1471  963 3728],[1665 1439  979 3712],[1646 1458  934 3757],[1650 1454  936 3755]
1,0.0001,100,"[155, 155, 103, 367]","[153, 158, 92, 377]","[169, 142, 83, 386]","[166, 145, 90, 379]","[163, 148, 98, 371]","[151, 159, 100, 369]",[1628 1476  941 3750],[1639 1465  956 3735],[1636 1468  955 3736],[1648 1456  927 3764],[1658 1446  937 3754]
2,0.0001,150,"[163, 147, 106, 364]","[155, 156, 95, 374]","[174, 137, 85, 384]","[166, 145, 88, 381]","[165, 146, 102, 367]","[160, 150, 108, 361]",[1650 1454  955 3736],[1642 1462  953 3738],[1632 1472  951 3740],[1630 1474  916 3775],[1689 1415  955 3736]
3,0.001,50,"[159, 151, 103, 367]","[157, 154, 95, 374]","[176, 135, 93, 376]","[156, 155, 77, 392]","[165, 146, 96, 373]","[149, 161, 95, 374]",[1626 1478  920 3771],[1636 1468  940 3751],[1622 1482  910 3781],[1607 1497  912 3779],[1624 1480  929 3762]
4,0.001,100,"[160, 150, 105, 365]","[159, 152, 96, 373]","[176, 135, 96, 373]","[160, 151, 81, 388]","[164, 147, 96, 373]","[152, 158, 95, 374]",[1628 1476  922 3769],[1615 1489  924 3767],[1615 1489  910 3781],[1615 1489  906 3785],[1622 1482  925 3766]
5,0.001,150,"[160, 150, 104, 366]","[157, 154, 94, 375]","[175, 136, 95, 374]","[157, 154, 76, 393]","[163, 148, 96, 373]","[151, 159, 96, 373]",[1618 1486  917 3774],[1609 1495  920 3771],[1622 1482  916 3775],[1614 1490  914 3777],[1610 1494  905 3786]
6,0.01,50,"[136, 174, 82, 388]","[138, 173, 87, 382]","[151, 160, 73, 396]","[127, 184, 59, 410]","[135, 176, 74, 395]","[125, 185, 91, 378]",[1364 1740  785 3906],[1360 1744  781 3910],[1370 1734  774 3917],[1356 1748  768 3923],[1360 1744  778 3913]
7,0.01,100,"[135, 175, 81, 389]","[138, 173, 89, 380]","[150, 161, 69, 400]","[130, 181, 58, 411]","[133, 178, 74, 395]","[127, 183, 90, 379]",[1368 1736  780 3911],[1369 1735  785 3906],[1361 1743  761 3930],[1364 1740  779 3912],[1361 1743  782 3909]
8,0.01,150,"[135, 175, 82, 388]","[138, 173, 88, 381]","[150, 161, 71, 398]","[131, 180, 59, 410]","[131, 180, 71, 398]","[130, 180, 89, 380]",[1368 1736  781 3910],[1361 1743  781 3910],[1366 1738  767 3924],[1368 1736  779 3912],[1362 1742  783 3908]
